Индекс ММВБ,IMOEX
Сбербанк,SBER
ЛУКОЙЛ,LKOH
ГАЗПРОМ ао,GAZP
ГМКНорНик,GMKN
Роснефть,ROSN
Татнфт 3ао,TATN
Полюс,PLZL
Сбербанк-п,SBERP
Сургнфгз,SNGS
Yandex clA,YNDX
Новатэк ао,NVTK
Polymetal,POLY
МосБиржа,MOEX
МТС-ао,MTSS
ВТБ ао,VTBR
Татнфт 3ап,TATNP
АЛРОСА ао,ALRS
Магнит ао,MGNT
НЛМК ао,NLMK
Аэрофлот,AFLT
СевСт-ао,CHMF
Сургнфгз-п,SNGSP
ИнтерРАОао,IRAO
Газпрнефть,SIBN
FIVE-гдр,FIVE
Система ао,AFKS
РусГидро,HYDR
Транснф ап,TRNFP
TCS-гдр,TCSG
ММК,MAGN
ТМК ао,TRMK
Россети ао,RSTI
ФСК ЕЭС ао,FEES
RUSAL plc,RUAL
ФосАгро ао,PHOR
Ростел -ао,RTKM
ДетскийМир,DSKY
МКБ ао,CBOM
Распадская,RASP
Башнефт ап,BANEP
Юнипро ао,UPRO
ТГК-1,TGKA
Мечел ао,MTLR
ОГК-2 ао,OGKB
НКНХ ап,NKNCP
ЛСР ао,LSRG
Мечел ап,MTLRP
Ленэнерг-п,LSNGP
М.видео,MVID
iИСКЧ ао,ISKJ
iQIWI,QIWI
AGRO-гдр,AGRO
ПИК ао,PIKK
+МосЭнерго,MSNG
Лента др,LNTA
Акрон,AKRN
Башнефт ао,BANE
ЭнелРос ао,ENRU
Селигдар,SELG
iФармсинтз,LIFE
РусАква ао,AQUA
Ростел -ап,RTKMP
iММЦБ ао,GEMA
БСП ао,BSPB
Россети ап,RSTIP
ETLN-гдр,ETLN
Лензолото,LNZL
ТКЗКК ап,KRKOP
ГИТ ао,GRNT
МРСК ЦП,MRKP
НМТП ао,NMTP
Аптеки36и6,APTK
ДВМП ао,FESH
МГТС-4ап,MGTSP
Селигдар-п,SELGP
ВСМПО-АВСМ,VSMO
ЭН+ГРУП ао,ENPG
НКНХ ао,NKNC
ГТМ ао,GTRK
КурганГКао,KGKC
ОР ао,OBUV
САФМАР ао,SFIN
Телеграф-п,CNTLP
ОргСинт ао,KZOS
Русгрэйн,RUGR
АЛРОСА-Нюр,ALNU
УралСиб ао,USBN
МРСК Центр,MRKC
МРСКВол,MRKV
Лензол. ап,LNZLP
ТГК-2,TGKB
ЗаводДИОД,DIOD
РуссНфт ао,RNFT
Квадра,TGKD
ИРКУТ-3,IRKT
ТГК-14,TGKN
ЧеркизГ-ао,GCHE
Мостотрест,MSTT
ПАОДжиТиЭл,GTLC
iАвиастКао,UNAC
Белуга ао,BELU
КурганГКап,KGKCP
АшинскийМЗ,AMEZ
СибГост ао,SIBG
МОЭСК,MSRS
СОЛЛЕРС,SVAV
ОргСинт ап,KZOSP
ЧЗПСН ао,PRFN
ИСУ-ПН,RU000A0JUQZ6
СаратНПЗ-п,KRKNP
МультиСис,MSST
ТАНТАЛ ао,TANL
ТрансК ао,TRCN
БурЗолото,BRZL
Таттел. ао,TTLK
КАМАЗ,KMAZ
РГС СК ао,RGSS
ПРОТЕК ао,PRTK
Русполимет,RUSP
МРСК Ур,MRKU
ЮТэйр ао,UTAR
МРСК СЗ,MRKZ
Ленэнерго,LSNG
РБК ао,RBCM
ПермьЭнС-п,PMSBP
Химпром ап,HIMCP
Авангрд-ао,AVAN
ЧТПЗ ао,CHEP
МосОблБанк,MOBB
Медиахолд,ODVA
Телеграф,CNTL
ЯТЭК ао,YAKG
Raven,RAVN
Роллман,RLMN
ТКСМ ао,TUCH
Куйбазот-п,KAZTP
ИркЭнерго,IRGZ
ПермьЭнСб,PMSB
iНПОНаука,NAUK
ВХЗ-ао,VLHZ
ТНСэМаЭл-п,MISBP
ДагСб ао,DASB
ГАЗ ао,GAZA
РоссЮг ао,MRKY
Якутскэнрг,YKEN
Русолово,ROLO
МГТС-5ао,MGTS
КалужскСК,KLSB
Возрожд-п,VZRZP
ПавлАвт ао,PAZA
КрасОкт-ао,KROT
ОВК ао,UWGN
Квадра-п,TGKDP
ЧМК ао,CHMK
ОКС ао,UCSS
Куйбазот,KAZT
КМЗ,KMEZ
ТГК-2 ап,TGKBP
БашИнСв ап,BISVP
Левенгук,LVHK
ЦМТ ао,WTCM
ЦМТ ап,WTCMP
КузнецкийБ,KUZB
АСКО ао,ACKO
ДЭК ао,DVEC
ЭнергияРКК,RKKE
ТамбЭнСб-п,TASBP
Славн-ЯНОС,JNOS
ЕвроЭлтех,EELT
Варьеган,VJGZ
НКХП ао,NKHP
Нефтекамск,NFAZ
КамчатЭ ап,KCHEP
Галс-Девел,HALS
Белон ао,BLNG
ЮУНК ао,UNKL
КузбТК ао,KBTK
АбрауДюрсо,ABRD
МРСКСиб,MRKS
Мегион-ао,MFGS
МРСК СК,MRKK
КоршГОК ао,KOGK
ЗВЕЗДА ао,ZVEZ
Ижсталь2ао,IGST
Арсагера,ARSA
ЧКПЗ ао,CHKZ
ТНСэнРст,RTSB
Якутскэн-п,YKENP
ЗИЛ ао,ZILL
Нижкамшина,NKSH
Варьеган-п,VJGZP
Красэсб ап,KRSBP
МагадЭн ап,MAGEP
РОСИНТЕРао,ROST
Ижсталь ап,IGSTP
ТНСэнВор-п,VRSBP
Инв-Девел,IDVP
Мегион-ап,MFGSP
КСБ ап,KTSBP
ГАЗ ап,GAZAP
Красэсб ао,KRSB
ТРК ао,TORS
СтаврЭнСбп,STSBP
iДонскЗР п,DZRDP
ГазпРнД ао,RTGZ
ТНСэнМарЭл,MISB
СаратНПЗ,KRKN
Электрцинк,ELTZ
ВолгЭнСб,VGSB
МордЭнСб,MRSB
ИНГРАД ао,INGR
Кубанэнр,KUBE
iДонскЗР,DZRD
ТНСэнВорон,VRSB
УрКузница,URKZ
ТНСэнЯр-п,YRSBP
НаукаСвяз,NSVZ
СЗПароход,SZPR
ТРК ап,TORSP
АстрЭнСб,ASSB
Сахэнер ао,SLEN
Росбанк ао,ROSB
КСБ ао,KTSB
ВыбСудЗ ао,VSYD
Роллман-п,RLMNP
КрасОкт-1п,KROTP
ТамбЭнСб,TASB
ТНСэнНН ао,NNSB
ОМЗ-ап,OMZZP
СтаврЭнСб,STSB
СаратЭн-ао,SARE
ЮжКузб. ао,UKUZ
РязЭнСб,RZSB
ЛЭСК ао,LPSB
Приморье,PRMB
КамчатЭ ао,KCHE
ТЗА ао,TUZA
ВыбСудЗ ап,VSYDP
ТНСэнРст-п,RTSBP
БестЭфБ ао,ALBK
СаратЭн-ап,SAREP
СМЗ-ао,MGNZ
ВолгЭнСб-п,VGSBP
ИКРУСС-ИНВ,RUSI
РДБанк ао,RDRB
Слав-ЯНОСп,JNOSP
ТНСэКубань,KBSB
МагадЭн ао,MAGE
СамарЭн-ап,SAGOP
ТНСэнНН ап,NNSBP
ТНСэнрг ао,TNSE
ТНСэнЯр,YRSB
РН-ЗапСиб,CHGZ
СамарЭн-ао,SAGO
МЕРИДИАН,MERF
ИСУ ГК-3,RU000A0JVEZ0
ТАНТАЛ ап,TANLP
КУЗОЦМ ао,KUNF
Химпром ао,HIMC
ГАЗ-сервис,GAZS
Возрожд-ао,VZRZ
МегаФон ао,MFON
Уркалий-ао,URKA
КЗМС ао,KZMS
КосогМЗ ао,KMTZ
ГЕОТЕК ао,GTSS
Морион ао,MORI
Кокс ао,KSGR
Физика ао,NPOF
ТКЗКК ао,KRKO
ИСУ ЕФГ-3,RU000A0JVT35
ИСУ-2,RU000A0JTXM2
ТрансФ ао,TRFM
БашИнСв ао,BISV
ГАЗ-Тек ао,GAZT
ГАЗКОН-ао,GAZC
